Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
animalRabbit,entityclasses,Entity,,,Bugs Bunny,,Hase,Conejo,Lapin,Coniglio,ウサギ,토끼,Królik,Coelho,Кролик,Tavşan,兔子,兔子,Conejo
animalSnake,entityclasses,Entity,,,Slitherin,,Schlange,Serpiente,Serpent,Serpente,ヘビ,뱀,Wąż,Cobra,Змея,Yılan,蛇,蛇,Serpiente
animalStag,entityclasses,Entity,,,Bambi,,Hirsch,Ciervo,Cerf,Cervo,雄ジカ,수사슴,Dorosły jeleń,Veado,Самец оленя,Erkek Geyik,雄鹿,公鹿,Ciervo
animalWolf,entityclasses,Entity,,,Brian Griffen,,Wolf,Lobo,Loup,Lupo,オオカミ,늑대,Wilk,Lobo,Волк,Kurt,灰狼,狼,Lobo
animalZombieBear,entityclasses,Entity,,,Hellspawn Bear,,Zombie-Bär,Oso zombi,Ours zombie,Orso zombie,ゾンビクマ,좀비 곰,Niedźwiedź zombie,Urso zumbi,Медведь-зомби,Zombi Ayı,丧尸熊,殭屍熊,Oso zombi
animalZombieDog,entityclasses,Entity,,,Hellspawn Dog,,Zombie-Hund,Perro zombi,Chien zombie,Cane zombie,ゾンビ犬,좀비 개,Pies zombie,Cão zumbi,Зомби-собака,Zombi Köpek,丧尸犬,殭屍狗,Perro zombi
animalZombieVulture,entityclasses,Entity,,,Woody Woodpecker,,Zombie-Geier,Buitre zombi,Vautour zombie,Avvoltoio zombie,ゾンビハゲワシ,좀비 독수리,Sęp zombie,Abutre zumbi,Зомби-стервятник,Zombi Akbaba,丧尸秃鹫,殭屍禿鷲,Buitre zombi
animalZombieVultureRadiated,entityclasses,Entity,,,Radiated Woody Woodpecker,,Verstrahlter Geier,Buitre irradiado,Vautour irradié,Avvoltoio irradiato,被爆ハゲワシ,방사능 독수리,Promieniowany sęp,Abutre com radiação,Облученный стервятник,Radyasyonlu Akbaba,被辐射的秃鹫,被輻射的禿鷲,Buitre irradiado
npcTraderBob,entityclasses,Entity,,,Trader Bob Ross,,Händler Bob,"Bob, el vendedor",Bob le marchand,Negoziante Bob,トレーダー ボブ,상인 밥,Handlarz Bob,Comer. Bob,Торговец Боб,Tüccar Bob,商人鲍勃,商人鮑伯,"Bob, el vendedor"
npcTraderHugh,entityclasses,Entity,,,Trader Hugh Hefner,,Händler Hugh,"Hugh, el vendedor",Hugh le marchand,Negoziante Hugh,トレーダー ヒュー,상인 휴,Handlarz Hugh,Comer. Hugh,Торговец Хью,Tüccar Hugh,商人休,商人修,"Hugh, el vendedor"
npcTraderJen,entityclasses,Entity,,,Trader Jenny Babe,,Händler Jen,"Jen, el vendedor",Jen le marchand,Negoziante Jen,トレーダー ジェン,상인 젠,Handlarka Jen,Comer. Jen,Торговка Джен,Tüccar Jen,商人杰恩,商人詹,"Jen, el vendedor"
npcTraderJimmy,entityclasses,Entity,,,Trader Jimmy John,,Händler Jimmy,"Jimmy, el vendedor",Jimmy le marchand,Negoziante Jimmy,トレーダー ジミー,상인 지미,Handlarz Jimmy,Comer. Jimmy,Торговец Джимми,Tüccar Jimmy,商人吉米,商人吉米,"Jimmy, el vendedor"
npcTraderJoel,entityclasses,Entity,,,Trader Dirty Harry,,Händler Joel,"Joel, el vendedor",Joel le marchand,Negoziante Joel,トレーダー ジョエル,상인 조엘,Handlarz Joel,Comer. Joel,Торговец Джоэл,Tüccar Joel,商人约珥,商人祖爾,"Joel, el vendedor"
npcTraderRekt,entityclasses,Entity,,,Trader Cletus,,Händler Rekt,"Rekt, el vendedor",Rekt le marchand,Negoziante Rekt,トレーダー レクト,상인 렉트,Handlarz Rekt,Comer. Rekt,Торговец Рект,Tüccar Rekt,商人雷克特,商人瑞克特,"Rekt, el vendedor"
zombieArlene,entityclasses,Entity,,,Meg Griffen,,Arlene,Niña putrefacta,Fille putride,Arlene,アーリーン,아를린,Arlene,Arlene,Гнилая девушка,Arlene,阿琳,阿琳,Niña putrefacta
zombieArleneFeral,entityclasses,Entity,,,Feral Meg Griffen,,Wilde Arlene,Niña putrefacta salvaje,Fille putride féroce,Arlene feroce,残忍なアーリーン,흉포한 아를린,Dzika Arlene,Arlene Feroz,Дикая гнилая девушка,Vahşi Arlene,凶残的阿琳,野蠻的阿琳,Niña putrefacta salvaje
zombieArleneRadiated,entityclasses,Entity,,,Radiated Meg Griffen,,Verstrahlte Arlene,Niña putrefacta irradiada,Fille putride irradiée,Arlene irradiata,被爆したアーリーン,방사능 아를린,Napromieniowana Arlene,Arlene Radioativa,Облученная гнилая девушка,Radyasyonlu Arlene,被辐射的阿琳,被輻射的阿琳,Niña putrefacta irradiada
zombieBehemoth,entityclasses,Entity,,,Behemoth,,Behemoth,Mastodonte,Béhémoth zombie,Gigante,ベヒーモス,짐승,Behemot,Beemote,Гигант,Dev Yaratık,巨兽,貝西摩斯,Mastodonte
zombieBiker,entityclasses,Entity,,,Opie,,Biker,Motociclista,Motard zombie,Motociclista,バイカー,바이커,Motocyklista,Ciclista,Байкер,Motosikletli,摩托车手,拜克,Motociclista
zombieBikerFeral,entityclasses,Entity,,,Feral Opie,,Wilder Biker,Motociclista salvaje,Motard zombie féroce,Motociclista feroce,残忍なバイカー,흉포한 바이커,Dziki motocyklista,Ciclista Feroz,Дикий байкер,Vahşi Motosikletli,凶残的摩托车手,野蠻拜克,Motociclista salvaje
zombieBikerRadiated,entityclasses,Entity,,,Radiated Opie,,Verstrahlter Biker,Motociclista irradiado,Motard zombie irradié,Motociclista irradiato,被爆したバイカー,방사능 바이커,Napromieniowany motocyklista,Ciclista Radioativo,Облученный байкер,Radyasyonlu Motosikletli,被辐射的摩托车手,被輻射的拜克,Motociclista irradiado
zombieBoe,entityclasses,Entity,,,Mr Clean,,Boe,Boe,Survivant infecté,Boe,ボウ,보우,Boe,Boe,Зараженный выживший,Avare,布尔,博伊,Boe
zombieBoeFeral,entityclasses,Entity,,,Feral Mr Clean,,Wilder Boe,Boe salvaje,Survivant infecté féroce,Boe feroce,残忍なボウ,흉포한 보,Dziki Boe,Boe Feroz,Дикий зараженный выживший,Vahşi Avare,凶残的布尔,野蠻的博伊,Boe salvaje
zombieBoeRadiated,entityclasses,Entity,,,Radiated Mr Clean,,Verstrahlter Boe,Boe irradiado,Survivant infecté irradié,Boe irradiato,被爆したボウ,방사능 보,Napromieniowany Boe,Boe Radioativo,Облученный зараженный выживший,Radyasyonlu Avare,被辐射的布尔,被輻射的博伊,Boe irradiado
zombieBurnt,entityclasses,Entity,,,Matchstick,,Brandopfer,Quemado,Calciné,Ustionato,焦げたゾンビ,불탄 자,Spalony,Queimado,Тлеющий зомби,Yanmış,被灼烧者,焦炭,Quemado
zombieBurntFeral,entityclasses,Entity,,,Feral Lit Matchstick,,Wildes Brandopfer,Quemado salvaje,Calciné féroce,Ustionato feroce,残忍な焦げたゾンビ,흉포한 불탄 자,Dziki spalony,Queimado Feroz,Дикий тлеющий зомби,Vahşi Yanmış,凶残的被灼烧者,野蠻的焦炭,Quemado salvaje
zombieBurntRadiated,entityclasses,Entity,,,Radiated GlowWorm,,Verstrahltes Brandopfer,Quemado irradiado,Calciné irradié,Ustionato irradiato,被爆した焦げたゾンビ,방사능 불탄 자,Napromieniowany spalony,Queimado Radioativo,Облученный тлеющий зомби,Radyasyonlu Yanmış,被辐射的被灼烧者,被輻射的焦炭,Quemado irradiado
zombieBusinessMan,entityclasses,Entity,,,Daper Dan,,Geschäftsmann,Hombre de negocios,Homme d'affaires zombie,Imprenditore,ビジネスマン,회사원,Biznesmen,Empresário,Бизнесмен,İş İnsanı,商人,商人,Hombre de negocios
zombieBusinessManFeral,entityclasses,Entity,,,Feral Daper Dan,,Wilder Geschäftsmann,Hombre de negocios salvaje,Homme d'affaires zombie féroce,Imprenditore feroce,残忍なビジネスマン,흉포한 회사원,Dziki biznesmen,Empresário Feroz,Дикий бизнесмен,Vahşi İş İnsanı,凶残的商人,野蠻的商人,Hombre de negocios salvaje
zombieBusinessManRadiated,entityclasses,Entity,,,Radiated Daper Dan,,Verstrahlter Geschäftsmann,Hombre de negocios irradiado,Homme d'affaires zombie irradié,Imprenditore irradiato,被爆したビジネスマン,방사능 회사원,Napromieniowany biznesmen,Empresário Radioativo,Облученный бизнесмен,Radyasyonlu İş İnsanı,被辐射的商人,被輻射的商人,Hombre de negocios irradiado
zombieDarlene,entityclasses,Entity,,,Lois Griffen,,Darlene,Darlene,Mère décomposée,Darlene,ダーリーン,달린,Darlene,Darlene,Разлагающаяся мать,Darlene,达琳,達琳,Darlene
zombieDarleneFeral,entityclasses,Entity,,,Feral Lois Griffen,,Wilde Darlene,Darlene salvaje,Mère décomposée féroce,Darlene feroce,残忍なダーリーン,흉포한 달린,Dzika Darlene,Darlene Feroz,Дикая мать,Vahşi Darlene,凶残的达琳,野蠻的達琳,Darlene salvaje
zombieDarleneRadiated,entityclasses,Entity,,,Radiated Lois Griffen,,Verstrahlte Darlene,Darlene irradiada,Mère décomposée irradiée,Darlene irradiata,被爆したダーリーン,방사능 달린,Napromieniowana Darlene,Darlene Radioativa,Облученная мать,Radyasyonlu Darlene,被辐射的达琳,被輻射的達琳,Darlene irradiada
zombieDemolition,entityclasses,Entity,,,Stallone,,Abbrucharbeiter,Demolición,Démolition,Demolitore,解体ゾンビ,철거,Rozbiórka,Demolição,Разрушение,Yıkım,爆破丧尸,破壞王,Demolición
zombieFatCop,entityclasses,Entity,,,Barney Fife,,Polizist,Policía,Policier infecté,Poliziotto,警官,경찰,Gliniarz,Policial,Зараженный коп,Polis,警察,警察,Policía
zombieFatCopFeral,entityclasses,Entity,,,Feral Barney Fife,,Wilder Polizist,Policía salvaje,Policier infecté féroce,Poliziotto feroce,残忍な警官,흉포한 경찰,Dziki gliniarz,Policial Feroz,Дикий коп,Vahşi Polis,凶残的警察,野蠻的警察,Policía salvaje
zombieFatCopRadiated,entityclasses,Entity,,,Radiated Barney Fife,,Verstrahlter Polizist,Policía irradiado,Policier infecté irradié,Poliziotto irradiato,被爆した警官,방사능 경찰,Napromieniowany gliniarz,Policial Radioativo,Облученный коп,Radyasyonlu Polis,被辐射的警察,被輻射的警察,Policía irradiado
zombieFatHawaiian,entityclasses,Entity,,,Peter Griffen,,Tourist,Turista,Touriste dérangé,Turista,観光客,관광객,Turysta,Turista,Потревоженный турист,Turist,游客,遊客,Turista
zombieFatHawaiianFeral,entityclasses,Entity,,,Feral Peter Griffen,,Wilder Tourist,Turista salvaje,Touriste féroce,Turista feroce,残忍な観光客,흉포한 관광객,Dziki turysta,Turista Feroz,Дикий турист,Vahşi Turist,凶残的游客,野蠻的遊客,Turista salvaje
zombieFatHawaiianRadiated,entityclasses,Entity,,,Radiated Peter Griffen,,Verstrahlter Tourist,Turista irradiado,Touriste dérangé irradié,Turista irradiato,被爆した観光客,방사능 관광객,Napromieniowany turysta,Turista Radioativo,Облученный турист,Radyasyonlu Turist,被辐射的游客,被輻射的遊客,Turista irradiado
zombieFemaleFat,entityclasses,Entity,,,Big Bertha,,Big Mama,Mamá gorda,Zombie affamée,Mamma affamata,ビッグママ,빅 마마,Duża mamcia,Mãezona,Толстуха,Büyük Anne,大妈妈,老媽,Mamá gorda
zombieFemaleFatFeral,entityclasses,Entity,,,Feral Big Bertha,,Wilde Big Mama,Mamá gorda salvaje,Zombie affamée féroce,Mamma affamata feroce,残忍なビッグママ,흉포한 빅 마마,Dzika duża mamcia,Mãezona Feroz,Дикая толстуха,Vahşi Büyük Anne,凶残的大妈妈,野蠻的老媽,Mamá gorda salvaje
zombieFemaleFatRadiated,entityclasses,Entity,,,Radiated Big Bertha,,Verstrahlte Big Mama,Mamá gorda irradiada,Zombie affamée irradiée,Mamma affamata irradiata,被爆したビッグママ,방사능 빅 마마,Napromieniowana duża mamcia,Mãezona Radioativa,Облученная толстуха,Radyasyonlu Büyük Anne,被辐射的大妈妈,被輻射的老媽,Mamá gorda irradiada
zombieJanitor,entityclasses,Entity,,,Jambie the Janitor,,Hausmeister,Conserje,Balayeur,Inserviente,用務員,청소부,Woźny,Zelador,Уборщик,Temizlikçi,看门人,看門人,Conserje
zombieJanitorFeral,entityclasses,Entity,,,Feral Jambie the Janitor,,Wilder Hausmeister,Conserje salvaje,Balayeur féroce,Inserviente feroce,残忍な用務員,흉포한 청소부,Dziki woźny,Zelador Feroz,Дикий уборщик,Vahşi Temizlikçi,凶残的看门人,野蠻的看門人,Conserje salvaje
zombieJanitorRadiated,entityclasses,Entity,,,Radiated Jambie the Janitor,,Verstrahlter Hausmeister,Conserje irradiado,Balayeur irradié,Inserviente irradiato,被爆した用務員,방사능 청소부,Napromieniowany woźny,Zelador Radioativo,Облученный уборщик,Radyasyonlu Temizlikçi,被辐射的看门人,被輻射的看門人,Conserje irradiado
zombieJoe,entityclasses,Entity,,,Joe,,Joe,Joe,Cadavre purulent,Joe,ジョー,조,Joe,Joe,Гнойный труп,Joe,乔,喬伊,Joe
zombieJoeFeral,entityclasses,Entity,,,Feral Joe,,Wilder Joe,Joe salvaje,Cadavre purulent féroce,Joe feroce,残忍なジョー,흉포한 조,Dziki Joe,Joe Feroz,Дикий гнойный труп,Vahşi Joe,凶残的乔,野蠻的喬伊,Joe salvaje
zombieJoeRadiated,entityclasses,Entity,,,Radiated Joe,,Verstrahlter Joe,Joe irradiado,Cadavre purulent irradié,Joe irradiato,被爆したジョー,방사능 조,Napromieniowany Joe,Joe Radioativo,Облученный гнойный труп,Radyasyonlu Joe,被辐射的乔,被輻射的喬伊,Joe irradiado
zombieLab,entityclasses,Entity,,,Nerdy Chick,,Laborant,Científico,Laborantin,Ricercatore,研究員,연구원 직원,Laborant,Laboratorista,Лаборант-зомби,Laboratuvar Çalışanı,实验室工作人员,勞工,Científico
zombieLabFeral,entityclasses,Entity,,,Feral Nerdy Chick,,Wilder Laborant,Científico salvaje,Laborantin féroce,Ricercatore feroce,残忍な研究員,흉포한 연구원 직원,Dziki laborant,Laboratorista Feroz,Дикий лаборант-зомби,Vahşi Laboratuvar Çalışanı,凶残的实验室工作人员,野蠻的勞工,Científico salvaje
zombieLabRadiated,entityclasses,Entity,,,Radiated Nerdy Chick,,Verstrahlter Laborant,Científico irradiado,Laborantin irradié,Ricercatore irradiato,被爆した研究員,방사능 연구원 직원,Napromieniowany laborant,Laboratorista Radioativo,Облученный лаборант-зомби,Radyasyonlu Laboratuvar Çalışanı,被辐射的实验室工作人员,被輻射的勞工,Científico irradiado
zombieLumberjack,entityclasses,Entity,,,Paul Bunyan,,Holzfäller,Leñador,Bûcheron zombie,Boscaiolo,木こり,벌목꾼,Drwal,Lenhador,Лесоруб-зомби,Oduncu,伐木工,伐木工,Leñador
zombieLumberjackFeral,entityclasses,Entity,,,Feral Paul Bunyan,,Wilder Holzfäller,Leñador salvaje,Bûcheron féroce,Boscaiolo feroce,残忍な木こり,흉포한 벌목꾼,Dziki drwal,Lenhador Feroz,Безумный лесоруб,Vahşi Oduncu,凶残伐木工,野蠻的伐木工,Leñador salvaje
zombieLumberjackRadiated,entityclasses,Entity,,,Radiated Paul Bunyan,,Verstrahlter Holzfäller,Leñador irradiado,Bûcheron irradié,Boscaiolo irradiato,被爆木こり,방사능 벌목꾼,Napromieniowany drwal,Lenhador Radioativo,Облученный лесоруб,Radyasyonlu Oduncu,被辐射的伐木工,被輻射的伐木工,Leñador irradiado
zombieMaleHazmat,entityclasses,Entity,,,Rad Tad,,Gefahrgutbeauftragter,Material peligroso,Travailleur toxique,Operaio dell'anticontaminazione,危険物処理班,방호복 좀비,HazMat,Macacão de proteção,Ликвидатор,Tehlikeli Madde,穿着防化服的丧尸,壞胚子,Material peligroso
zombieMaleHazmatFeral,entityclasses,Entity,,,Feral Rad Tad,,Wilder Gefahrgutbeauftragter,Material peligroso salvaje,Travailleur toxique féroce,Operaio dell'anticontaminazione feroce,残忍な危険物処理班,흉포한 방호복 좀비,Dziki HazMat,Vedado Feroz,Дикий ликвидатор,Vahşi Tehlikeli Madde,凶残的穿着防化服的丧尸,野蠻的壞胚子,Material peligroso salvaje
zombieMaleHazmatRadiated,entityclasses,Entity,,,Radiated Rad Tad,,Verstrahlter Gefahrgutbeauftragter,Material peligroso irradiado,Travailleur toxique irradié,Operaio dell'anticontaminazione irradiato,被爆した危険物処理班,방사능 방호복 좀비,Napromieniowany HazMat,Vedado Radioativo,Облученный ликвидатор,Radyasyonlu Tehlikeli Madde,被辐射的穿着防化服的丧尸,被輻射的壞胚子,Material peligroso irradiado
zombieMarlene,entityclasses,Entity,,,MILF Maven,,Marlene,Marlene,Défunte,Marlene,マーリーン,말린,Marlene,Marlene,Покойница,Marlene,马琳,瑪琳,Marlene
zombieMarleneFeral,entityclasses,Entity,,,Feral MILF Maven,,Wilde Marlene,Marlene salvaje,Défunte féroce,Marlene feroce,残忍なマーリーン,흉포한 말린,Dzika Marlene,Marlene Feroz,Дикая покойница,Vahşi Marlene,凶残的马琳,野蠻的瑪琳,Marlene salvaje
zombieMarleneRadiated,entityclasses,Entity,,,Radiated MILF Maven,,Verstrahlte Marlene,Marlene irradiada,Défunte irradiée,Marlene irradiata,被爆したマーリーン,방사능 말린,Napromieniowana Marlene,Marlene Radioativa,Облученная покойница,Radyasyonlu Marlene,被辐射的马琳,被輻射的瑪琳,Marlene irradiada
zombieMoe,entityclasses,Entity,,,Edgar,,Moe,Moe,Rôdeur obèse,Moe,モー,모,Moe,Moe,Распухший ходок,Moe,莫伊,默,Moe
zombieMoeFeral,entityclasses,Entity,,,Feral Edgar,,Wilder Moe,Moe salvaje,Rôdeur obèse féroce,Moe feroce,残忍なモー,흉포한 모,Dziki Moe,Moe Feroz,Дикий распухший ходок,Vahşi Moe,凶残的莫伊,野蠻的默,Moe salvaje
zombieMoeRadiated,entityclasses,Entity,,,Radiated Edgar,,Verstrahlter Moe,Moe irradiado,Rôdeur obèse irradié,Moe irradiato,被爆したモー,방사능 모,Napromieniowany Moe,Moe Radioativo,Облученный распухший ходок,Radyasyonlu Moe,被辐射的莫伊,被輻射的默,Moe irradiado
zombieMutated,entityclasses,Entity,,,PussHead,,Mutierter,Mutante,Mutant,Mutante,変異ゾンビ,돌연변이,Zmutowany,Mutante,Мутант,Mutasyonlu,变异丧尸,變種人,Mutante
zombieMutatedFeral,entityclasses,Entity,,,Feral PussHead,,Wilder Mutierter,Mutante salvaje,Mutant féroce,Mutante feroce,残忍な変異ゾンビ,흉포한 돌연변이,Dziki zmutowany,Mutante Feroz,Дикий мутант,Vahşi Mutasyonlu,凶残的变异丧尸,野蠻的變種人,Mutante salvaje
zombieMutatedRadiated,entityclasses,Entity,,,Radiated PussHead,,Verstrahlter Mutierter,Mutante irradiado,Mutant irradié,Mutante irradiato,被爆した変異ゾンビ,방사능 돌연변이,Napromieniowany zmutowany,Mutante Radioativo,Облученный мутант,Radyasyonlu Mutasyonlu,被辐射的变异丧尸,被輻射的變種人,Mutante irradiado
zombieNurse,entityclasses,Entity,,,Naughty Nurse Nancy,,Krankenschwester,Enfermera,Infirmière pestiférée,Infermiera,看護師,간호사,Pielęgniarka,Enfermeira,Чумная санитарка,Hemşire,护士,護士,Enfermera
zombieNurseFeral,entityclasses,Entity,,,Feral Naughty Nurse Nancy,,Wilde Krankenschwester,Enfermera salvaje,Infirmière féroce,Infermiera feroce,残忍ナース,흉포한 간호사,Dzika pielęgniarka,Enfermeira Feroz,Дикая санитарка,Vahşi Hemşire,凶残的瘟疫感染护士,野蠻的護士,Enfermera salvaje
zombieNurseRadiated,entityclasses,Entity,,,Radiated Naughty Nurse Nancy,,Verstrahlte Krankenschwester,Enfermera irradiada,Infirmière pestiférée irradiée,Infermiera irradiata,被爆した看護師,방사능 간호사,Napromieniowana pielęgniarka,Enfermeira Radioativa,Облученная чумная санитарка,Radyasyonlu Hemşire,被辐射的护士,被輻射的護士,Enfermera irradiada
zombiePartyGirl,entityclasses,Entity,,,Jiggles,,Partymädchen,Fiestera,Fêtarde zombie,Ragazza festaiola,パーティーガール,파티걸,Imprezowiczka,Baladeira,Тусовщица,Parti Kızı,派对女孩,派對女孩,Fiestera
zombiePartyGirlFeral,entityclasses,Entity,,,Feral Jiggles,,Wildes Partymädchen,Fiestera salvaje,Fêtarde féroce,Ragazza festaiola feroce,残忍パーティーガール,흉포한 파티걸,Dzika imprezowiczka,Festeira Feroz,Безумная тусовщица,Vahşi Parti Kızı,凶残派对女孩,兇猛派對女孩,Fiestera salvaje
zombiePartyGirlRadiated,entityclasses,Entity,,,Radiated Jiggles,,Verstrahltes Partymädchen,Fiestera irradiada,Fêtarde irradiée,Ragazza festaiola irradiata,被爆パーティーガール,방사능 파티걸,Napromieniowana imprezowiczka,Festeira Radioativa,Облученная тусовщица,Radyasyonlu Parti Kızı,被辐射的派对女孩,被輻射的派對女孩,Fiestera irradiada
zombieScreamer,entityclasses,Entity,,,Raven-Haired,,Schreier,Gritón,Zombie hurleur,Urlatrice,絶叫ゾンビ,비명,Krzykacz,Gritador,Крикуша,Çığırtkan,尖叫丧尸,尖叫者,Gritón
zombieScreamerFeral,entityclasses,Entity,,,Feral Raven-Haired,,Wilder Schreier,Gritón salvaje,Hurleur féroce,Urlatore feroce,残忍絶叫ゾンビ,흉포한 비명 좀비,Dziki krzykacz,Gritador Feroz,Дикая крикуша,Vahşi Çığırtkan,凶残的尖叫丧尸,野蠻的尖叫者,Gritón salvaje
zombieScreamerRadiated,entityclasses,Entity,,,Radiated Raven-Haired,,Verstrahlter Schreier,Gritón irradiado,Zombie hurleur irradié,Urlatrice irradiata,被爆した絶叫ゾンビ,방사능 비명,Napromieniowany krzykacz,Gritador Radioativo,Облученная крикуша,Radyasyonlu Çığırtkan,被辐射的尖叫丧尸,被輻射的尖叫者,Gritón irradiado
zombieSkateboarder,entityclasses,Entity,,,Tony Hawk,,Gangster,Matón,Skateur punk zombie,Delinquente,悪党,폭력배,Drab,Capanga,Скейтер-зомби,Serseri,暴徒,暴徒,Matón
zombieSkateboarderFeral,entityclasses,Entity,,,Feral Tony Hawk,,Wilder Gangster,Matón salvaje,Skateur punk zombie féroce,Delinquente feroce,残忍な悪党,흉포한 폭력배,Dziki drab,Capanga Feroz,Дикий скейтер-зомби,Vahşi Serseri,凶残的暴徒,野蠻的暴徒,Matón salvaje
zombieSkateboarderRadiated,entityclasses,Entity,,,Radiated Tony Hawk,,Verstrahlter Gangster,Matón irradiado,Skateur punk zombie irradié,Delinquente irradiato,被爆した悪党,방사능 폭력배,Napromieniowany drab,Capanga Radioativo,Облученный скейтер-зомби,Radyasyonlu Serseri,被辐射的暴徒,被輻射的暴徒,Matón irradiado
zombieSoldier,entityclasses,Entity,,,Gomer Pyle,,Soldat,Soldado,Soldat tombé,Soldato,兵士,군인,Żołnierz,Soldado,Солдат,Asker,士兵,士兵,Soldado
zombieSoldierFeral,entityclasses,Entity,,,Feral Gomer Pyle,,Wilder Soldat,Soldado salvaje,Soldat féroce,Soldato feroce,残忍ソルジャー,흉포한 군인,Dziki żołnierz,Soldado Feroz,Дикий солдат,Vahşi Asker,凶残的士兵,野蠻士兵,Soldado salvaje
zombieSoldierRadiated,entityclasses,Entity,,,Radiated Gomer Pyle,,Verstrahlter Soldat,Soldado irradiado,Soldat tombé irradié,Soldato irradiato,被爆した兵士,방사능 군인,Napromieniowany żołnierz,Soldado Radioativo,Облученный солдат,Radyasyonlu Asker,被辐射的士兵,被輻射的士兵,Soldado irradiado
zombieSpider,entityclasses,Entity,,,Spindel,,Spinnenzombie,Araña,Araignée,Ragno,スパイダー,거미,Pająk,Aranha,Паук,Örümcek,蜘蛛,蜘蛛,Araña
zombieSpiderFeral,entityclasses,Entity,,,Feral Spindel,,Wilder Spinnenzombie,Araña salvaje,Araignée féroce,Ragno feroce,残忍なスパイダー,흉포한 거미,Dziki pająk,Aranha Feroz,Дикий паук,Vahşi Örümcek,凶残的蜘蛛,野蠻的蜘蛛,Araña salvaje
zombieSpiderRadiated,entityclasses,Entity,,,Radiated Spindel,,Verstrahlter Spinnenzombie,Araña irradiada,Araignée irradiée,Ragno irradiato,被爆したスパイダー,방사능 거미,Napromieniowany pająk,Aranha Radioativa,Облученный паук,Radyasyonlu Örümcek,被辐射的蜘蛛,被輻射的蜘蛛,Araña irradiada
zombieSteve,entityclasses,Entity,,,Twitchy,,Steve,Steve,Corps réanimé,Steve,スティーブ,스티브,Steve,Steve,Оживший труп,Steve,史蒂夫,史帝夫,Steve
zombieSteveCrawler,entityclasses,Entity,,,Do da Shuffle,,Kriecher,Oruga,Rampant,Essere strisciante,クローラー,크롤러,Pełzacz,Rastejante,Ползающий зомби,Sürüngen,爬行者,爬蟲,Oruga
zombieSteveCrawlerFeral,entityclasses,Entity,,,Feral Do da Shuffle,,Wilder Kriecher,Oruga salvaje,Rampant féroce,Essere strisciante feroce,残忍クローラー,흉포한 크롤러,Dziki pełzacz,Rastejante Feroz,Дикий ползающий зомби,Vahşi Sürüngen,凶残的爬行者,野蠻的爬蟲,Oruga salvaje
zombieSteveCrawlerRadiated,entityclasses,Entity,,,Radiated Do da Shuffle,,Verstrahlter Kriecher,Zombi rastrero irradiado,Rampant irradié,Essere strisciante irradiato,被爆したクローラー,방사능 크롤러,Napromieniowany pełzacz,Rastejante Radioativo,Облученный ползун,Radyasyonlu Sürüngen,被辐射的爬行者,被輻射的爬蟲,Zombi rastrero irradiado
zombieSteveFeral,entityclasses,Entity,,,Feral Twitchy,,Wilder Steve,Steve salvaje,Corps réanimé féroce,Steve feroce,残忍なスティーブ,흉포한 스티브,Dzikie Steve,Steve Feroz,Дикий труп,Vahşi Steve,凶残的史蒂夫,野蠻的史帝夫,Steve salvaje
